CD_CANAL_SAP;DS_CANAL_BOV;(No column name)
0001048711;AGENTES FIBRA;1
0001055272;AGENTES FIBRA;1
0001061125;AGENTES FIBRA;28
0001061139;AGENTES FIBRA;14
0001062205;AGENTES FIBRA;1
0001063219;AGENTES FIBRA;7
0001063221;AGENTES FIBRA;8
0001063771;AGENTES FIBRA;6
0001064759;AGENTES FIBRA;1
0001065217;AGENTES FIBRA;6
0001065225;AGENTES FIBRA;4
0001065331;AGENTES FIBRA;27
1061159;AGENTES FIBRA;3
1065204;AGENTES FIBRA;20
1065214;AGENTES FIBRA;1
1065234;AGENTES FIBRA;1
1065235;AGENTES FIBRA;1
1065249;AGENTES FIBRA;1
0001043792;FRANQUIAS EMP;8
0001045377;FRANQUIAS EMP;9
0001047883;FRANQUIAS EMP;19
0001049271;FRANQUIAS EMP;1
0001049366;FRANQUIAS EMP;11
0001050434;FRANQUIAS EMP;6
0001051802;FRANQUIAS EMP;7
0001051983;FRANQUIAS EMP;21
0001062062;FRANQUIAS EMP;35
0001062101;FRANQUIAS EMP;2
0001064589;FRANQUIAS EMP;5
0001064594;FRANQUIAS EMP;5
0001064607;FRANQUIAS EMP;7
0001064989;FRANQUIAS EMP;1
0001065455;FRANQUIAS EMP;19
1042332;FRANQUIAS EMP;18
1042333;FRANQUIAS EMP;4
1050433;FRANQUIAS EMP;28
1064568;FRANQUIAS EMP;2
1064591;FRANQUIAS EMP;1
1064592;FRANQUIAS EMP;11
0001047164;OUTROS;7
0001062174;OUTROS;1
0001062617;OUTROS;1
0001064477;OUTROS;2
0001064482;OUTROS;1
0001064900;OUTROS;1
0001065074;OUTROS;2
0001065185;OUTROS;1
0001065274;OUTROS;1
0001065345;OUTROS;28
0001065381;OUTROS;2
0001065395;OUTROS;41
0001065405;OUTROS;10
0001065502;OUTROS;1
1064450;OUTROS;1
1064455;OUTROS;1
1064468;OUTROS;17
1064632;OUTROS;1
1064901;OUTROS;2
1065122;OUTROS;1
1065344;OUTROS;2
1065379;OUTROS;1
1065473;OUTROS;52
0001049148;PAP;87
0001058187;PAP;80
0001058633;PAP;190
0001063138;PAP;259
0001063215;PAP;1
0001064004;PAP;77
0001064222;PAP;114
1061088;PAP;12
0001062841;PAP PRÓPRIO;29
0001062842;PAP PRÓPRIO;12
1062669;PAP PRÓPRIO;62
1062674;PAP PRÓPRIO;47
0001051919;S2S;9
0001042797;TELEAGENTES;44
0001042865;TELEAGENTES;51
0001044938;TELEAGENTES;1
0001045623;TELEAGENTES;4
0001054156;TELEAGENTES;1
0001058202;TELEAGENTES;146
0001060843;TELEAGENTES;10
0001060844;TELEAGENTES;1
0001061273;TELEAGENTES;7
0001061274;TELEAGENTES;2
0001062250;TELEAGENTES;57
0001062615;TELEAGENTES;1
0001063215;TELEAGENTES;50
0001063216;TELEAGENTES;104
0001063973;TELEAGENTES;32
0001064345;TELEAGENTES;2
0001064708;TELEAGENTES;2
0001064711;TELEAGENTES;115
0001064836;TELEAGENTES;7
0001064868;TELEAGENTES;1
0001064880;TELEAGENTES;1
0001064932;TELEAGENTES;1
0001064991;TELEAGENTES;47
1042798;TELEAGENTES;4
1045624;TELEAGENTES;1
1048328;TELEAGENTES;1
1051739;TELEAGENTES;1
1056320;TELEAGENTES;15
1056321;TELEAGENTES;13
1058202;TELEAGENTES;8
1058205;TELEAGENTES;41
1061392;TELEAGENTES;1
1062255;TELEAGENTES;17
1063268;TELEAGENTES;1
1063791;TELEAGENTES;31
1063924;TELEAGENTES;1
1063925;TELEAGENTES;7
1063945;TELEAGENTES;15
1064347;TELEAGENTES;1
1064751;TELEAGENTES;1
1064830;TELEAGENTES;2
1064832;TELEAGENTES;45
1064835;TELEAGENTES;10
1064883;TELEAGENTES;2
1064992;TELEAGENTES;1
0001037568;TLV ATIVO;1
0001044349;TLV ATIVO;10
0001044351;TLV ATIVO;5
0001046317;TLV ATIVO;14
0001054261;TLV ATIVO;4
0001054267;TLV ATIVO;15
0001054268;TLV ATIVO;3
0001054362;TLV ATIVO;5
0001054373;TLV ATIVO;1
0001055495;TLV ATIVO;1
0001056151;TLV ATIVO;7
0001056184;TLV ATIVO;1
1037571;TLV ATIVO;4
1037572;TLV ATIVO;2
1037576;TLV ATIVO;3
1046196;TLV ATIVO;1
1046210;TLV ATIVO;14
1046215;TLV ATIVO;3
1046216;TLV ATIVO;1
1046316;TLV ATIVO;2
1049017;TLV ATIVO;1
1049023;TLV ATIVO;1
1049355;TLV ATIVO;1
1054362;TLV ATIVO;5
1054371;TLV ATIVO;5
1056151;TLV ATIVO;5
1056157;TLV ATIVO;1
1056167;TLV ATIVO;9
1056184;TLV ATIVO;15
1056308;TLV ATIVO;1
1064014;TLV ATIVO;1
1064023;TLV ATIVO;7
1064028;TLV ATIVO;3
0001064371;TLV PP;1
1063736;TLV PP;1
1063751;TLV PP;17
0001048183;TLV RECEPTIVO;46
1048690;TLV RECEPTIVO;10
1054316;TLV RECEPTIVO;3
1054319;TLV RECEPTIVO;1
1054332;TLV RECEPTIVO;2
1054335;TLV RECEPTIVO;1
1054343;TLV RECEPTIVO;7
1054777;TLV RECEPTIVO;8
1054780;TLV RECEPTIVO;15
1057978;TLV RECEPTIVO;3
0001063788;URA;5
0001044255;WEB - AFILIADOS;9
0001033624;AGENTES FIBRA;2
0001043618;AGENTES FIBRA;1
0001054861;AGENTES FIBRA;1
0001061122;AGENTES FIBRA;151
0001062795;AGENTES FIBRA;20
0001062804;AGENTES FIBRA;3
0001062805;AGENTES FIBRA;43
0001063027;AGENTES FIBRA;44
0001063028;AGENTES FIBRA;25
0001063105;AGENTES FIBRA;3
0001063110;AGENTES FIBRA;5
0001063287;AGENTES FIBRA;3
0001063900;AGENTES FIBRA;2
0001063901;AGENTES FIBRA;4
0001063983;AGENTES FIBRA;47
0001065313;AGENTES FIBRA;3
1061157;AGENTES FIBRA;1
1061269;AGENTES FIBRA;198
1062942;AGENTES FIBRA;1
1063220;AGENTES FIBRA;2
1065203;AGENTES FIBRA;20
1065265;AGENTES FIBRA;1
0001064305;FRANQUIA;8
0001040804;FRANQUIAS EMP;2
0001043793;FRANQUIAS EMP;8
